origin	site	pop	sample_id	raw_sample_id
CN	AH1	AH1P1	AH1P1-1	AH1P1S1
CN	AH1	AH1P1	AH1P1-2	AH1P1S2
CN	AH1	AH1P1	AH1P1-3	AH1P1S3
CN	AH1	AH1P1	AH1P1-4	AH1P1S4
CN	AH1	AH1P1	AH1P1-5	AH1P1S5
CN	AH1	AH1P2	AH1P2-1	AH1P2S1
CN	AH1	AH1P2	AH1P2-2	AH1P2S2
CN	AH1	AH1P2	AH1P2-3	AH1P2S3
CN	AH1	AH1P2	AH1P2-4	AH1P2S4
CN	AH1	AH1P2	AH1P2-5	AH1P2S5
CN	AH1	AH1P3	AH1P3-1	AH1P3S1
CN	AH1	AH1P3	AH1P3-2	AH1P3S2
CN	AH1	AH1P3	AH1P3-3	AH1P3S3
CN	AH1	AH1P3	AH1P3-4	AH1P3S4
CN	AH1	AH1P3	AH1P3-5	AH1P3S5
CN	AH2	AH2P1	AH2P1-1	AH2P1S1
CN	AH2	AH2P1	AH2P1-2	AH2P1S2
CN	AH2	AH2P1	AH2P1-3	AH2P1S3
CN	AH2	AH2P1	AH2P1-4	AH2P1S4
CN	AH2	AH2P1	AH2P1-5	AH2P1S5
CN	AH2	AH2P2	AH2P2-1	AH2P2S1
CN	AH2	AH2P2	AH2P2-2	AH2P2S2
CN	AH2	AH2P2	AH2P2-3	AH2P2S3
CN	AH2	AH2P2	AH2P2-4	AH2P2S4
CN	AH2	AH2P2	AH2P2-5	AH2P2S5
CN	AH2	AH2P3	AH2P3-1	AH2P3S1
CN	AH2	AH2P3	AH2P3-2	AH2P3S2
CN	AH2	AH2P3	AH2P3-3	AH2P3S3
CN	AH2	AH2P3	AH2P3-4	AH2P3S4
CN	AH2	AH2P3	AH2P3-5	AH2P3S5
CN	AH3	AH3P1	AH3P1-1	AH3P1S1
CN	AH3	AH3P1	AH3P1-2	AH3P1S2
CN	AH3	AH3P1	AH3P1-3	AH3P1S3
CN	AH3	AH3P1	AH3P1-4	AH3P1S4
CN	AH3	AH3P1	AH3P1-5	AH3P1S5
CN	AH3	AH3P2	AH3P2-1	AH3P2S1
CN	AH3	AH3P2	AH3P2-2	AH3P2S2
CN	AH3	AH3P2	AH3P2-3	AH3P2S3
CN	AH3	AH3P2	AH3P2-4	AH3P2S4
CN	AH3	AH3P2	AH3P2-5	AH3P2S5
CN	AH3	AH3P3	AH3P3-1	AH3P3S1
CN	AH3	AH3P3	AH3P3-2	AH3P3S2
CN	AH3	AH3P3	AH3P3-3	AH3P3S3
CN	AH3	AH3P3	AH3P3-4	AH3P3S4
CN	AH3	AH3P3	AH3P3-5	AH3P3S5
CN	GD1	GD1P1	GD1P1-1	GD1P1S1
CN	GD1	GD1P1	GD1P1-2	GD1P1S2
CN	GD1	GD1P1	GD1P1-3	GD1P1S3
CN	GD1	GD1P1	GD1P1-4	GD1P1S4
CN	GD1	GD1P1	GD1P1-5	GD1P1S5
CN	GD1	GD1P2	GD1P2-1	GD1P2S1
CN	GD1	GD1P2	GD1P2-2	GD1P2S2
CN	GD1	GD1P2	GD1P2-3	GD1P2S3
CN	GD1	GD1P2	GD1P2-4	GD1P2S4
CN	GD1	GD1P2	GD1P2-5	GD1P2S5
CN	GD1	GD1P3	GD1P3-1	GD1P3S1
CN	GD1	GD1P3	GD1P3-2	GD1P3S2
CN	GD1	GD1P3	GD1P3-3	GD1P3S3
CN	GD1	GD1P3	GD1P3-4	GD1P3S4
CN	GD1	GD1P3	GD1P3-5	GD1P3S5
CN	GD2	GD2P1	GD2P1-1	GD2P1S1
CN	GD2	GD2P1	GD2P1-2	GD2P1S2
CN	GD2	GD2P1	GD2P1-3	GD2P1S3
CN	GD2	GD2P1	GD2P1-4	GD2P1S4
CN	GD2	GD2P1	GD2P1-5	GD2P1S5
CN	GD2	GD2P2	GD2P2-1	GD2P2S1
CN	GD2	GD2P2	GD2P2-2	GD2P2S2
CN	GD2	GD2P2	GD2P2-3	GD2P2S3
CN	GD2	GD2P2	GD2P2-4	GD2P2S4
CN	GD2	GD2P2	GD2P2-5	GD2P2S5
CN	GD2	GD2P3	GD2P3-1	GD2P3S1
CN	GD2	GD2P3	GD2P3-2	GD2P3S2
CN	GD2	GD2P3	GD2P3-3	GD2P3S3
CN	GD2	GD2P3	GD2P3-4	GD2P3S4
CN	GD2	GD2P3	GD2P3-5	GD2P3S5
CN	GD3	GD3P1	GD3P1-1	GD3P1S1
CN	GD3	GD3P1	GD3P1-2	GD3P1S2
CN	GD3	GD3P1	GD3P1-3	GD3P1S3
CN	GD3	GD3P1	GD3P1-4	GD3P1S4
CN	GD3	GD3P1	GD3P1-5	GD3P1S5
CN	GD3	GD3P2	GD3P2-1	GD3P2S1
CN	GD3	GD3P2	GD3P2-2	GD3P2S2
CN	GD3	GD3P2	GD3P2-3	GD3P2S3
CN	GD3	GD3P2	GD3P2-4	GD3P2S4
CN	GD3	GD3P2	GD3P2-5	GD3P2S5
CN	GD3	GD3P3	GD3P3-1	GD3P3S1
CN	GD3	GD3P3	GD3P3-2	GD3P3S2
CN	GD3	GD3P3	GD3P3-3	GD3P3S3
CN	GD3	GD3P3	GD3P3-4	GD3P3S4
CN	GD3	GD3P3	GD3P3-5	GD3P3S5
CN	JX1	JX1P1	JX1P1-2	JX1P1S2
CN	JX1	JX1P1	JX1P1-3	JX1P1S3
CN	JX1	JX1P1	JX1P1-5	JX1P1S5
CN	JX1	JX1P1	JX1P1-6	JX1P1S6
CN	JX1	JX1P1	JX1P1-8	JX1P1S8
CN	JX1	JX1P2	JX1P2-1	JX1P2S1
CN	JX1	JX1P2	JX1P2-2	JX1P2S2
CN	JX1	JX1P2	JX1P2-3	JX1P2S3
CN	JX1	JX1P2	JX1P2-4	JX1P2S4
CN	JX1	JX1P2	JX1P2-5	JX1P2S5
CN	JX1	JX1P3	JX1P3-1	JX1P3S1
CN	JX1	JX1P3	JX1P3-2	JX1P3S2
CN	JX1	JX1P3	JX1P3-3	JX1P3S3
CN	JX1	JX1P3	JX1P3-4	JX1P3S4
CN	JX1	JX1P3	JX1P3-5	JX1P3S5
CN	JX2	JX2P1	JX2P1-1	JX2P1S1
CN	JX2	JX2P1	JX2P1-2	JX2P1S2
CN	JX2	JX2P1	JX2P1-3	JX2P1S3
CN	JX2	JX2P1	JX2P1-4	JX2P1S4
CN	JX2	JX2P1	JX2P1-5	JX2P1S5
CN	JX2	JX2P2	JX2P2-1	JX2P2S1
CN	JX2	JX2P2	JX2P2-2	JX2P2S2
CN	JX2	JX2P2	JX2P2-3	JX2P2S3
CN	JX2	JX2P2	JX2P2-4	JX2P2S4
CN	JX2	JX2P2	JX2P2-5	JX2P2S5
CN	JX2	JX2P3	JX2P3-1	JX2P3S1
CN	JX2	JX2P3	JX2P3-2	JX2P3S2
CN	JX2	JX2P3	JX2P3-3	JX2P3S3
CN	JX2	JX2P3	JX2P3-4	JX2P3S4
CN	JX2	JX2P3	JX2P3-5	JX2P3S5
CN	JX3	JX3P1	JX3P1-1	JX3P1S1
CN	JX3	JX3P1	JX3P1-2	JX3P1S2
CN	JX3	JX3P1	JX3P1-3	JX3P1S3
CN	JX3	JX3P1	JX3P1-4	JX3P1S4
CN	JX3	JX3P1	JX3P1-5	JX3P1S5
CN	JX3	JX3P2	JX3P2-1	JX3P2S1
CN	JX3	JX3P2	JX3P2-2	JX3P2S2
CN	JX3	JX3P2	JX3P2-3	JX3P2S3
CN	JX3	JX3P2	JX3P2-4	JX3P2S4
CN	JX3	JX3P2	JX3P2-5	JX3P2S5
CN	JX3	JX3P3	JX3P3-1	JX3P3S1
CN	JX3	JX3P3	JX3P3-2	JX3P3S2
CN	JX3	JX3P3	JX3P3-3	JX3P3S3
CN	JX3	JX3P3	JX3P3-4	JX3P3S4
CN	JX3	JX3P3	JX3P3-5	JX3P3S5
CN	JX4	JX4P1	JX4P1-1	JX4P1S1
CN	JX4	JX4P1	JX4P1-2	JX4P1S2
CN	JX4	JX4P1	JX4P1-3	JX4P1S3
CN	JX4	JX4P1	JX4P1-4	JX4P1S4
CN	JX4	JX4P1	JX4P1-5	JX4P1S5
CN	JX4	JX4P2	JX4P2-1	JX4P2S1
CN	JX4	JX4P2	JX4P2-2	JX4P2S2
CN	JX4	JX4P2	JX4P2-3	JX4P2S3
CN	JX4	JX4P2	JX4P2-4	JX4P2S4
CN	JX4	JX4P2	JX4P2-5	JX4P2S5
CN	JX4	JX4P3	JX4P3-1	JX4P3S1
CN	JX4	JX4P3	JX4P3-2	JX4P3S2
CN	JX4	JX4P3	JX4P3-3	JX4P3S3
CN	JX4	JX4P3	JX4P3-4	JX4P3S4
