sample_id,origin,site,pop,lat,lon,leafherb,stemfeed,leafcurling,branchno,stemlen,node,basic,leafbio,stembio,branchbio,abovebio,SLA,SSL,BI,trichome,saponins,lignin,N,C,CN,soil_water,soil_PH,soil_SOM,soil_C,soil_N,soil_CN,soil_NH,soil_NO,soil_AP,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
S1P1-1,AR,S1,S1P1,34.863,58.571,0.291153415,6,1,2,50,8,3.47,1.317,1.4995,0.1635,2.98,130.2247191,33.34444815,0.109036345,0,7.351126017,0.03,2.99,35.87,11.9871,31.90319032,7.37,12.16984484,0.22,2.46,11.1382,18.204375,9.709,39.85071531,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P1-2,AR,S1,S1P1,34.863,58.571,1.024327785,0,1,2,57,7,3.6,1.3328,1.6401,0.1641,3.137,352.5423729,34.75397842,0.100054875,4,5.552277542,0.038,5.07,37.52,7.4012,31.11858705,7.31,9.501863775,0.17,1.74,10.1934,15.777125,6.068125,22.56795007,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P1-3,AR,S1,S1P1,34.863,58.571,21.77266576,0,1,2,31,7,2.47,1.1681,1.1377,0.0215,2.3273,211.7901235,27.2479564,0.018897776,21,6.815352132,0.035,2.65,31.17,11.7777,30.50524309,7.42,10.12575321,0.18,1.8,10.0521,14.5635,15.777125,31.01730197,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P1-4,AR,S1,S1P1,34.863,58.571,0.275942197,0,1.333333333,0,36,4,5.19,1.4988,1.5013,0,3.0001,244.8493151,23.97921801,0,7,7.586513769,0.035,3.19,38.92,12.2114,44.91725768,7.93,13.7119485,0.27,2.89,10.774,30.340625,3.640875,50.22037446,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P1-5,AR,S1,S1P1,34.863,58.571,0.74297405,0,1.333333333,1,109,17,4.37,1.4214,3.4151,0.3422,5.1787,NA,31.91707417,0.100202044,0,5.308569678,0.035,5.97,35.91,6.0098,37.08281829,NA,10.6308262,0.17,1.7,10.1,19.418,9.709,54.82911186,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P1-6,AR,S1,S1P1,34.863,58.571,0.936388039,0,1.666666667,3,78,12,2.88,1.2586,1.8114,0.1422,3.2122,382.3387097,43.0606161,0.078502816,6,5.296680108,NA,3.02,36.15,11.9511,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P1-7,AR,S1,S1P1,34.863,58.571,8.296675761,0,2,0,53,8,3.97,1.1164,1.4407,0,2.5571,164.1698842,36.78767266,0,1,5.743593804,NA,2.82,37.82,13.4242,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P1-8,AR,S1,S1P1,34.863,58.571,0.628124599,0,1,3,54,9,4.99,1.5,2.0175,0.5431,4.0606,237.7419355,26.76579926,0.269194548,0,6.790718211,NA,2.68,36.39,13.5805,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P1-9,AR,S1,S1P1,34.863,58.571,0.966157205,0,1.666666667,1,76,16,4.22,1.3021,2.5831,0.0196,3.9048,338.4134615,29.42201231,0.007587782,7,4.316366106,NA,2.86,39.24,13.7037,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P1-10,AR,S1,S1P1,34.863,58.571,21.91720168,0,1,3,78,13,6,1.6161,4.5874,1.0097,7.2132,283.7820513,17.00309544,0.220102891,NA,7.247802035,NA,12.06,38.03,3.1526,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P2-1,AR,S1,S1P2,34.863,58.571,1.048402285,0,1,1,88,17,5.6,1.5904,2.8106,0.0296,4.4306,268.816568,31.31004056,0.010531559,5,5.878423982,0.035,2.07,44.01,21.2472,33.09120258,6.98,9.164560244,0.13,1.48,11.6992,14.5635,10.922625,45.22757561,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
