sample_id,richness,shannon,evenness,origin,site,pop,lat,lon,leafherb,stemfeed,leafcurling,branchno,stemlen,node,basic,leafbio,stembio,branchbio,abovebio,SLA,SSL,BI,trichome,saponins,lignin,N,C,CN,soil_water,soil_PH,soil_SOM,soil_C,soil_N,soil_CN,soil_NH,soil_NO,soil_AP,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,cluster
AH1P1-1,132,2.484079982232235,0.5087406824228584,CN,AH1,AH1P1,30.715,116.832,0.774286841,0,2.333333333,2,66.1,12,2.99,1.4286,1.9288,0.2334,3.5908,221.2844037,34.27001244,0.121007881,1,5.486751342,0.035,2.86,39.19,13.6877,25.64829373,5.51,6.953140447,0.8,2.54,3.1592,20.631625,4.8545,66.35095535,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,1
AH1P1-2,84,2.8683265273908165,0.6473584121418894,CN,AH1,AH1P1,30.715,116.832,14.40416978,0,1.666666667,0,66.7,11,3.96,1.3058,1.8373,0,3.1431,233.0263158,36.3032711,0,13,7.101927437,0.033,3.21,37.77,11.7782,40.92449717,6.47,12.21141761,0.63,4.18,6.6094,23.058875,4.8545,127.4167259,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,1
AH1P1-3,111,1.6160236550387928,0.3431390363710758,CN,AH1,AH1P1,30.715,116.832,0.715752503,0,1.333333333,0,115,16,2.26,1.2524,2.5275,0,3.7799,235.4198473,45.49950544,0,2,5.571696636,0.036,2.7,40.49,14.9956,15.75389603,5.47,5.077666101,0.14,1.06,7.6745,12.13625,12.13625,11.04610658,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,1
AH1P1-4,89,2.8521674768164136,0.6354195889088288,CN,AH1,AH1P1,30.715,116.832,1.068779077,0,2.333333333,0,81.5,13,2.15,1.0973,1.4932,0,2.5905,222.4418605,54.58076614,0,7,9.162257411,0.032,2.59,39.18,15.1022,28.92766497,5.75,9.101297305,0.67,3.42,5.0684,16.99075,4.8545,9.509860778,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,1
AH1P1-5,174,1.3632948769463258,0.26425281333074463,CN,AH1,AH1P1,30.715,116.832,1.439519816,0,2,2,146,24,3.78,1.402,4.4629,0.152,6.0169,178.1443299,32.71415447,0.034058572,0,7.452292565,0.036,2.92,40.1,13.7369,25.84048484,5.91,6.786885246,0.19,2.15,11.5821,26.69975,6.068125,14.50265963,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,1
AH1P2-1,130,2.8491549160360488,0.5853384182559569,CN,AH1,AH1P2,30.715,116.832,0.104689692,0,1,0,83.7,15,2.76,1.286,1.7958,0,3.0818,246.6666667,46.60875376,0,14,3.520847908,0.033,3.47,38.18,11.0008,19.64731267,6.47,6.133654748,0.16,1.91,11.7713,14.5635,7.28175,25.64044167,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,1
AH1P2-2,175,1.2651657978380815,0.24495996624560562,CN,AH1,AH1P2,30.715,116.832,0.95339232,0,1,2,65,15,2.57,1.2565,1.7926,0.0207,3.0698,241.3529412,36.26018074,0.011547473,37,5.726987897,0.034,4.19,40.02,9.5503,13.54233979,6.53,3.273946486,0.05,0.5,10.3504,18.204375,7.28175,6.437369179,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,2
AH1P2-3,222,2.411501702903632,0.4463530824540803,CN,AH1,AH1P2,30.715,116.832,3.000514272,0,1,0,120.4,19,2.91,1.1158,2.4143,0,3.5301,192.3846154,49.8695274,0,130,8.39802879,0.036,3.59,39.25,10.9332,14.50937636,7.36,3.527868852,0.66,2.49,3.7517,24.2725,12.13625,27.56074892,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,2
AH1P2-4,182,1.5804969375515032,0.303707706886,CN,AH1,AH1P2,30.715,116.832,1.41930423,0,1.666666667,0,115,22,3.8,1.2233,3.2328,0,4.4561,187.5925926,35.572878,0,42,5.034418192,0.035,3.67,39.79,10.8292,16.53332522,8.14,5.436995207,1.26,1.93,1.5233,14.5635,15.777125,31.01730197,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,2
AH1P2-5,176,1.6259352068978201,0.314464798355076,CN,AH1,AH1P2,30.715,116.832,9.836765296,0,1.666666667,0,43.9,10,3.4,1.174,1.4159,0,2.5899,175.046729,31.00501448,0,49,4.922972668,0.034,3.03,40.05,13.2156,6.857064794,8.37,4.264900662,0.08,1.02,13.0581,12.13625,8.495375,19.49545847,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,2
