sample_id,richness,shannon,evenness,origin,site,pop,lat,lon,leafherb,stemfeed,leafcurling,branchno,stemlen,node,basic,leafbio,stembio,branchbio,abovebio,SLA,SSL,BI,trichome,saponins,lignin,N,C,CN,soil_water,soil_PH,soil_SOM,soil_C,soil_N,soil_CN,soil_NH,soil_NO,soil_AP,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,cluster,Pathotroph,Pathotroph-Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Pathotroph-Symbiotroph,Saprotroph,Saprotroph-Symbiotroph,Symbiotroph,Unknowntroph,compartment,patho,sapro,symbio,patho_s,sapro_s,symbio_s,centroid_x,centroid_y,area,cpc1,cpc2,cpc3,dbMEM.1,dbMEM.2,dbMEM.3,dbMEM.4,dbMEM.5,dbMEM.6,dbMEM.7,dbMEM.8,dbMEM.9,dbMEM.10,dbMEM.11,dbMEM.12,dbMEM.13,gamma_richness,cluster_n
AH1P1-1,133,2.4842733448843615,0.5079950898695247,CN,AH1,AH1P1,30.715,116.832,0.774286841,0,2.333333333,2,66.1,12,2.99,1.4286,1.9288,0.2334,3.5908,221.2844037,34.27001244,0.121007881,1,5.486751342,0.035,2.86,39.19,13.6877,25.64829373,5.51,6.953140447,0.8,2.54,3.1592,20.631625,4.8545,66.35095535,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,1,19,12,13,14,37,3,3,32,CN-AH,36.333333333333336,48.833333333333336,15.833333333333334,0.21766561514195584,0.21177587844254514,0.24137931034482754,-0.014311689207515592,0.015900858990544928,0.06484565193781808,-2.8465332340302982,-0.6939588943557239,0.5480574538919075,0,0,0,0,0,-0.24789019256277503,-1.6066303616044295,-0.9626641731303588,0.10721213325255377,-1.2508043894813259,-1.3216674827029162,-0.48570947012052973,-1.0049515179611541,2291,85
AH1P1-2,84,2.8683265273908165,0.6473584121418894,CN,AH1,AH1P1,30.715,116.832,14.40416978,0,1.666666667,0,66.7,11,3.96,1.3058,1.8373,0,3.1431,233.0263158,36.3032711,0,13,7.101927437,0.033,3.21,37.77,11.7782,40.92449717,6.47,12.21141761,0.63,4.18,6.6094,23.058875,4.8545,127.4167259,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,1,15,11,8,3,19,2,4,22,CN-AH,24.666666666666668,28.166666666666668,9.166666666666666,0.10725552050473187,0.09401709401709404,0.10344827586206892,-0.0038045781074911595,0.00799868167073202,0.013382325667336315,-2.8465332340302982,-0.6939588943557239,0.5480574538919075,0,0,0,0,0,-0.24789019256278239,-1.606630361604406,-0.9626641731303506,0.10721213325255455,-1.2508043894813172,-1.3216674827029056,-0.4857094701205415,-1.0049515179611197,2291,85
AH1P1-3,111,1.6160236550387928,0.3431390363710758,CN,AH1,AH1P1,30.715,116.832,0.715752503,0,1.333333333,0,115,16,2.26,1.2524,2.5275,0,3.7799,235.4198473,45.49950544,0,2,5.571696636,0.036,2.7,40.49,14.9956,15.75389603,5.47,5.077666101,0.14,1.06,7.6745,12.13625,12.13625,11.04610658,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,1,17,16,8,14,23,0,5,28,CN-AH,34.666666666666664,33.666666666666664,14.666666666666666,0.20189274447949523,0.12535612535612536,0.21724137931034476,-0.003947372904200973,0.0020072579124824287,0.04174263579265933,-2.8465332340302982,-0.6939588943557239,0.5480574538919075,0,0,0,0,0,-0.24789019256277955,-1.6066303616044253,-0.962664173130355,0.10721213325255267,-1.2508043894813166,-1.3216674827028885,-0.48570947012050814,-1.0049515179611601,2291,85
AH1P1-4,89,2.8521674768164136,0.6354195889088288,CN,AH1,AH1P1,30.715,116.832,1.068779077,0,2.333333333,0,81.5,13,2.15,1.0973,1.4932,0,2.5905,222.4418605,54.58076614,0,7,9.162257411,0.032,2.59,39.18,15.1022,28.92766497,5.75,9.101297305,0.67,3.42,5.0684,16.99075,4.8545,9.509860778,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,1,18,9,4,10,23,2,3,20,CN-AH,28.833333333333332,29.833333333333332,10.333333333333334,0.14668769716088326,0.10351377018043685,0.1275862068965517,-5.987319707759694e-4,0.007683776436022576,0.020397692381939447,-2.8465332340302982,-0.6939588943557239,0.5480574538919075,0,0,0,0,0,-0.24789019256277192,-1.6066303616044237,-0.9626641731303573,0.10721213325255163,-1.2508043894813343,-1.3216674827029073,-0.4857094701205227,-1.0049515179611606,2291,85
AH1P1-5,175,1.363743496554618,0.2640464684190249,CN,AH1,AH1P1,30.715,116.832,1.439519816,0,2,2,146,24,3.78,1.402,4.4629,0.152,6.0169,178.1443299,32.71415447,0.034058572,0,7.452292565,0.036,2.92,40.1,13.7369,25.84048484,5.91,6.786885246,0.19,2.15,11.5821,26.69975,6.068125,14.50265963,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,1,29,23,16,11,42,3,5,46,CN-AH,51.333333333333336,60.333333333333336,17.333333333333332,0.359621451104101,0.27730294396961064,0.2724137931034482,0.0015529139764751656,0.02960708777886379,0.11831252710397507,-2.8465332340302982,-0.6939588943557239,0.5480574538919075,0,0,0,0,0,-0.2478901925627651,-1.606630361604423,-0.962664173130365,0.10721213325255284,-1.250804389481323,-1.3216674827028871,-0.4857094701205044,-1.004951517961118,2291,85
AH1P2-1,130,2.8491549160360488,0.5853384182559569,CN,AH1,AH1P2,30.715,116.832,0.104689692,0,1,0,83.7,15,2.76,1.286,1.7958,0,3.0818,246.6666667,46.60875376,0,14,3.520847908,0.033,3.47,38.18,11.0008,19.64731267,6.47,6.133654748,0.16,1.91,11.7713,14.5635,7.28175,25.64044167,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,1,22,13,8,22,31,3,4,27,CN-AH,42.166666666666664,41.666666666666664,19.166666666666668,0.2728706624605678,0.17094017094017094,0.3103448275862069,-0.00727661376306333,9.048840408021629e-4,0.07983842915540952,-2.8465332340302982,-0.6939588943557239,0.5480574538919075,0,0,0,0,0,-0.2478901925627651,-1.606630361604427,-0.9626641731303529,0.10721213325255977,-1.2508043894813086,-1.321667482702921,-0.4857094701205225,-1.004951517961155,2291,85
AH1P2-2,175,1.2651657978380815,0.24495996624560562,CN,AH1,AH1P2,30.715,116.832,0.95339232,0,1,2,65,15,2.57,1.2565,1.7926,0.0207,3.0698,241.3529412,36.26018074,0.011547473,37,5.726987897,0.034,4.19,40.02,9.5503,13.54233979,6.53,3.273946486,0.05,0.5,10.3504,18.204375,7.28175,6.437369179,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,2,38,21,15,31,29,1,5,35,CN-AH,69,45,26,0.5268138801261829,0.1899335232668566,0.4517241379310344,0.012335184294669758,-0.0023541266908480144,0.18352451790884744,-2.8465332340302982,-0.6939588943557239,0.5480574538919075,0,0,0,0,0,-0.24789019256277794,-1.6066303616044244,-0.9626641731303538,0.10721213325255152,-1.250804389481327,-1.3216674827029025,-0.4857094701205032,-1.0049515179611228,1037,42
AH1P2-3,222,2.411501702903632,0.4463530824540803,CN,AH1,AH1P2,30.715,116.832,3.000514272,0,1,0,120.4,19,2.91,1.1158,2.4143,0,3.5301,192.3846154,49.8695274,0,130,8.39802879,0.036,3.59,39.25,10.9332,14.50937636,7.36,3.527868852,0.66,2.49,3.7517,24.2725,12.13625,27.56074892,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,2,52,26,19,31,36,1,5,52,CN-AH,86.83333333333333,55.833333333333336,27.333333333333332,0.695583596214511,0.251661918328585,0.47931034482758617,0.02948757798208203,0.007614772645746815,0.272398104739889,-2.8465332340302982,-0.6939588943557239,0.5480574538919075,0,0,0,0,0,-0.24789019256277234,-1.6066303616044268,-0.9626641731303465,0.10721213325255204,-1.2508043894813279,-1.3216674827029005,-0.4857094701205225,-1.0049515179611863,1037,42
AH1P2-4,182,1.5804969375515032,0.303707706886,CN,AH1,AH1P2,30.715,116.832,1.41930423,0,1.666666667,0,115,22,3.8,1.2233,3.2328,0,4.4561,187.5925926,35.572878,0,42,5.034418192,0.035,3.67,39.79,10.8292,16.53332522,8.14,5.436995207,1.26,1.93,1.5233,14.5635,15.777125,31.01730197,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,2,41,16,14,32,27,3,6,43,CN-AH,69.66666666666667,41.166666666666664,28.166666666666668,0.5331230283911672,0.16809116809116809,0.49655172413793097,0.009521625422555413,-0.0081446268993751,0.18957399614898127,-2.8465332340302982,-0.6939588943557239,0.5480574538919075,0,0,0,0,0,-0.24789019256277353,-1.6066303616044237,-0.9626641731303521,0.10721213325255545,-1.2508043894813254,-1.3216674827029025,-0.48570947012055465,-1.0049515179611803,1037,42
AH1P2-5,176,1.6259352068978201,0.314464798355076,CN,AH1,AH1P2,30.715,116.832,9.836765296,0,1.666666667,0,43.9,10,3.4,1.174,1.4159,0,2.5899,175.046729,31.00501448,0,49,4.922972668,0.034,3.03,40.05,13.2156,6.857064794,8.37,4.264900662,0.08,1.02,13.0581,12.13625,8.495375,19.49545847,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,2,44,17,22,24,24,0,5,40,CN-AH,71.83333333333333,39.833333333333336,24.333333333333332,0.5536277602523658,0.16049382716049385,0.4172413793103447,0.01957678960860561,-0.002188504133482476,0.16749577112675723,-2.8465332340302982,-0.6939588943557239,0.5480574538919075,0,0,0,0,0,-0.24789019256277395,-1.606630361604424,-0.9626641731303528,0.10721213325255777,-1.250804389481321,-1.321667482702908,-0.485709470120541,-1.0049515179611204,1037,42
AH1P3-1,183,3.3628022086029508,0.6455151448610282,CN,AH1,AH1P3,30.715,116.832,0.370981222,0,1,3,40.2,7,2.83,1.3621,1.2303,0.0286,2.621,269.9621212,32.67495733,0.023246363,48,7.386297304,0.034,4.87,35.63,7.3114,13.25965599,7.05,4.455347079,0.14,1.29,9.2492,12.13625,6.068125,67.5031397,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,2,45,18,19,31,32,2,4,32,CN-AH,75.83333333333333,48.333333333333336,26.833333333333332,0.5914826498422713,0.20892687559354226,0.4689655172413792,0.0180211055749906,1.967280639099233e-4,0.2160478290763536,-2.8465332340302982,-0.6939588943557239,0.5480574538919075,0,0,0,0,0,-0.24789019256277395,-1.6066303616044235,-0.9626641731303538,0.10721213325254288,-1.2508043894813226,-1.3216674827029073,-0.48570947012053056,-1.0049515179611734,1037,42
AH1P3-2,122,2.8409261644023585,0.5913642213363994,CN,AH1,AH1P3,30.715,116.832,0.836076464,0,1,0,39,9,2.99,1.2694,1.3589,0,2.6283,245.0236967,28.69968357,0,1,7.602063172,0.032,4.44,37.76,8.5109,13.23597984,7.12,4.598241257,0.11,1.17,10.6657,10.922625,4.8545,72.1118771,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,2,30,11,12,19,19,1,7,23,CN-AH,49,29,21,0.33753943217665616,0.09876543209876544,0.34827586206896544,0.003449999685922521,-0.008241551645728313,0.08023365125462828,-2.8465332340302982,-0.6939588943557239,0.5480574538919075,0,0,0,0,0,-0.24789019256277395,-1.6066303616044233,-0.9626641731303534,0.10721213325255254,-1.2508043894813212,-1.3216674827029096,-0.4857094701205225,-1.0049515179611292,1037,42
AH1P3-3,143,1.3974126782546925,0.2815749398508793,CN,AH1,AH1P3,30.715,116.832,1.393004944,0,1,0,66.2,12,3.76,1.2462,1.6946,0,2.9408,226.8041237,39.06526614,0,3,6.331037846,0.032,2.89,41.22,14.2512,21.09489856,6.99,5.601523509,0.15,1.53,10.2652,12.13625,6.068125,107.4455305,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,2,33,14,14,21,24,1,4,32,CN-AH,55.166666666666664,36.166666666666664,19.666666666666668,0.3958990536277603,0.1396011396011396,0.32068965517241377,0.011335670567870867,-4.980235344157764e-4,0.0982927277765889,-2.8465332340302982,-0.6939588943557239,0.5480574538919075,0,0,0,0,0,-0.2478901925627741,-1.6066303616044233,-0.9626641731303531,0.10721213325255273,-1.2508043894813208,-1.3216674827029078,-0.4857094701205248,-1.0049515179611574,1037,42
AH1P3-4,118,1.64473797157163,0.34475931675233024,CN,AH1,AH1P3,30.715,116.832,0.912783371,0,1,0,38.8,10,2.52,1.134,1.2303,0,2.3643,206.6233766,31.53702349,0,52,7.899448615,0.031,2.85,39.12,13.7296,12.38265065,6.58,4.800486125,0.15,1.62,10.9186,14.5635,3.640875,37.93040807,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,2,29,14,11,18,19,0,3,24,CN-AH,48.666666666666664,29.666666666666668,15.666666666666666,0.334384858044164,0.10256410256410257,0.23793103448275857,0.01339190451593336,4.471125001838832e-4,0.059868163430528046,-2.8465332340302982,-0.6939588943557239,0.5480574538919075,0,0,0,0,0,-0.24789019256277403,-1.6066303616044226,-0.9626641731303528,0.10721213325255201,-1.2508043894813203,-1.321667482702907,-0.4857094701205249,-1.0049515179611586,1037,42
AH1P3-5,91,3.45727194184164,0.7664330792938487,CN,AH1,AH1P3,30.715,116.832,2.085855361,0,1,2,106,20,2.66,1.3025,2.4198,0.5996,4.3219,275.177665,43.80527316,0.247789073,7,5.854945286,0.033,3.56,39.17,10.9995,11.7854333,6.88,5.957362024,0.81,1.78,2.1947,14.5635,6.068125,38.69853096,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128,2,23,8,8,11,16,0,5,20,CN-AH,35.166666666666664,22.666666666666668,13.166666666666666,0.20662460567823338,0.0626780626780627,0.1862068965517241,0.004319891702486351,-0.002882242383155318,0.0273217349416922,-2.8465332340302982,-0.6939588943557239,0.5480574538919075,0,0,0,0,0,-0.24789019256277395,-1.6066303616044215,-0.9626641731303516,0.10721213325255204,-1.2508043894813188,-1.3216674827029056,-0.4857094701205234,-1.0049515179611572,1037,42
AH2P1-1,154,1.488657046747085,0.29554716199508085,CN,AH2,AH2P1,31.888,117.478,1.870564808,0,1.333333333,4,41.5,8,3.76,1.6814,1.4779,0.0243,3.1836,272.8755365,28.08038433,0.016442249,24,4.060215987,0.034,3.58,30.15,8.4214,21.53205841,5.19,7.845753553,0.16,1.49,9.4869,24.2725,18.204375,85.55402784,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2,34,14,16,29,25,2,3,31,CN-AH,60.833333333333336,38.333333333333336,23.833333333333332,0.44952681388012616,0.1519468186134853,0.40689655172413786,0.008773646420329077,-0.004964996298060086,0.13555103936496454,-2.8943620883222856,1.1880498399439454,0.24257165857622753,0,0,0,0,0,0.2282752357930469,-1.2435714990878404,-1.2921684927131618,1.3937276964439207,0.4743340696237874,-0.41060469048564396,-1.2761627237282716,1.3499819635340506,1037,42
