"","Pathotroph","unkown","Saprotroph","Pathotroph-Saprotroph","Pathotroph-Saprotroph-Symbiotroph","Pathotroph-Symbiotroph","Symbiotroph","Saprotroph-Symbiotroph"
"S8P1-1",14,5,7,5,7,5,1,0
"S8P1-2",23,27,32,18,20,8,5,4
"S8P1-3",39,19,20,11,13,11,2,0
"S8P1-4",21,12,13,6,8,6,2,0
"S8P1-5",34,23,21,16,15,20,4,0
"S8P2-1",16,13,11,10,9,6,4,0
"S8P2-2",21,8,8,5,10,7,3,0
"S8P2-3",33,24,22,13,18,13,5,0
"S8P2-4",20,17,14,8,10,7,0,0
"S8P2-5",27,17,19,15,16,13,4,0
"S8P3-1",35,10,12,16,12,11,1,0
"S8P3-2",28,22,18,10,15,10,2,0
"S8P3-3",14,10,17,9,8,5,1,0
"S8P3-4",34,18,15,9,16,7,3,0
"S8P3-5",36,20,20,10,14,10,2,1
"S9P1-1",24,17,14,7,11,9,6,0
"S9P1-2",36,30,20,20,16,15,3,0
"S9P1-3",40,36,31,23,20,30,5,0
"S9P1-4",27,21,10,12,10,10,4,1
"S9P1-5",30,22,15,12,13,9,2,0
"S9P2-1",21,16,13,11,11,14,2,0
"S9P2-2",21,17,15,9,10,24,4,0
"S9P2-3",28,25,26,14,18,13,1,2
"S9P2-4",35,17,23,14,18,11,1,0
"S9P2-5",48,26,29,22,12,25,4,1
"S9P3-1",29,28,32,28,15,18,5,3
"S9P3-2",38,20,19,20,16,21,4,0
"S9P3-3",21,23,20,21,11,11,3,1
"S9P3-4",31,32,29,16,22,20,3,2
"S9P3-5",27,15,15,16,8,9,1,0
"S10P1-1",65,41,44,29,22,15,2,4
"S10P1-2",35,17,18,16,17,10,2,2
"S10P1-3",39,17,18,15,14,9,2,1
"S10P1-4",22,12,15,8,11,5,3,0
"S10P1-5",41,20,28,18,17,10,1,2
"S10P2-1",28,17,15,11,12,6,2,3
"S10P2-2",16,7,5,8,8,4,2,0
"S10P2-3",16,10,12,5,8,6,1,1
"S10P2-4",16,11,8,11,6,4,2,0
"S10P2-5",18,8,12,6,9,4,0,1
"S10P3-1",21,14,17,11,8,3,1,0
"S10P3-2",36,11,20,11,13,8,2,1
"S10P3-3",22,17,16,7,7,4,3,0
"S10P3-4",22,26,29,16,16,6,1,2
"S10P3-5",15,14,10,6,7,4,1,0
"S11P1-1",22,10,16,13,9,8,1,0
