Feature ID	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
0c5bf071a8da088db08da83a2cdbfebc	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium	-	-	-	-	-	-	-	Unassigned	-
3323c7d0f11313a2def64c2d01051168	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae	-	-	-	-	-	-	-	Unassigned	-
0deedcab3ba5626538b6f6c8b3965729	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	-	-	-	-	-	-	-	Unassigned	-
ec626eacd1ab38f193a39f4153049630	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma;s__Saitozyma_flava	-	-	-	-	-	-	-	Unassigned	-
f986177e27841db51f2c77ba0c456452	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;g__Ramichloridium;s__Ramichloridium_cucurbitae	-	-	-	-	-	-	-	Unassigned	-
9909f767221729d5890d10d18664910d	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Pseudorobillarda;s__Pseudorobillarda_phragmitis	-	-	-	-	-	-	-	Unassigned	-
2c23af3a65ec3248304b4cfef1a27195	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;g__Globoramichloridium;s__Globoramichloridium_indicum	-	-	-	-	-	-	-	Unassigned	-
30322dcb7002bfab1adb410f24ceebe7	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Doassansiales;f__Doassansiaceae	-	-	-	-	-	-	-	Unassigned	-
4625a8946362889bb35441e89cb0b24e	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Phyllostictaceae;g__Phyllosticta;s__Phyllosticta_capitalensis	-	-	-	-	-	-	-	Unassigned	-
360a5629f7f13e4bb0e9f0a4af31fe86	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
0f854006bb9920b12d7587e4765ccfe9	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma;s__Saitozyma_flava	-	-	-	-	-	-	-	Unassigned	-
aba5e9cedb0fbce61811ba1b2be128b6	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Schizotheciaceae;g__Pseudoechria;s__Pseudoechria_longicollis	-	-	-	-	-	-	-	Unassigned	-
1a56d8554118700cd600b9ec22b5c38a	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;g__Ramichloridium;s__Ramichloridium_cucurbitae	-	-	-	-	-	-	-	Unassigned	-
84bfff9bd8819b6fe0d3a250fe66fc22	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_protuberus	-	-	-	-	-	-	-	Unassigned	-
ede2538940172d5ea03fe1d0cd1b8d9a	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_laurentii	-	-	-	-	-	-	-	Unassigned	-
3c9a66429ad629497a422f7d7a7916a7	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_endophyticum	-	-	-	-	-	-	-	Unassigned	-
570b084a7dd80dbeee5f7ee146bb9546	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Pseudorobillarda;s__Pseudorobillarda_phragmitis	-	-	-	-	-	-	-	Unassigned	-
044dd71a2c20e5b444e6d5f6532031a5	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema	-	-	-	-	-	-	-	Unassigned	-
db6473847f2d6e492d5589deac197414	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
0434c110523a3144c51809c5e3dd711a	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae	-	-	-	-	-	-	-	Unassigned	-
c00852994223222d0da2c71744341c08	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus	-	-	-	-	-	-	-	Unassigned	-
7a9896bb20ca5ddda40131c13f0b3e5d	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
24fad943cd9e5c23cff4374a7d1996ee	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_rajasthanensis	-	-	-	-	-	-	-	Unassigned	-
3d5d3e56d01bb63b8ce14ef4013bfb44	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_protuberus	-	-	-	-	-	-	-	Unassigned	-
ab1b11cfa7e31829574dc7abf044a8b2	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_penicillioides	-	-	-	-	-	-	-	Unassigned	-
8b9ff76d49f1a4f0294b0d1f59885b5c	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_aspenensis	-	-	-	-	-	-	-	Unassigned	-
4b290bc3561230bc3de1cd1f593466b0	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
efe0e60f35e7c94e4a8390fc6a0500bc	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales	-	-	-	-	-	-	-	Unassigned	-
0a3de8b4e5d24790a4d5c596b1a1d61b	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
2a154a61dfbe2631a2b13f79d2047787	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma;s__Saitozyma_flava	-	-	-	-	-	-	-	Unassigned	-
2e4611a8b3e9b376182aa38de1d29ccf	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Doassansiales;f__Doassansiaceae	-	-	-	-	-	-	-	Unassigned	-
8fe9cd318b6a6970c1f4482c2daf2e71	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_penicillioides	-	-	-	-	-	-	-	Unassigned	-
5e91b6d7c2a9e524d261d3c70043f36c	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_restrictus	-	-	-	-	-	-	-	Unassigned	-
5f3f074e3b176988376d9a4b44bf8a1c	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_sphaerospermum	-	-	-	-	-	-	-	Unassigned	-
9398946665c03dcb7da2d3102344267d	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
18d602e9f101012fb3fbbfd5fa083b80	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma;s__Saitozyma_flava	-	-	-	-	-	-	-	Unassigned	-
7778afade5996622e26a18009eaedf6c	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
4f260bc2ef3a44f4b84329315b818d1f	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma	-	-	-	-	-	-	-	Unassigned	-
28658a8c1f867731166274d4e8f40053	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema	-	-	-	-	-	-	-	Unassigned	-
72109a41e7c3faa4fda1d6fd361de29e	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
